$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-701B,PDI-701B,PI-731B,PZI-732B,PI-741B,PZI-742B
02/15/16,03:00:00,106.7694,515.0726,7.626228,7276.669,20.05681,105.7543,105.9626,102.6924,102.6617
02/15/16,03:01:00,106.7577,514.9788,7.659988,7272.198,20.0042,105.1724,105.3411,102.4545,102.4467
02/15/16,03:02:00,106.7017,515.8318,7.569542,7120.38,19.81802,105.7021,105.8817,102.6577,102.6467
02/15/16,03:03:00,106.5133,516.6631,7.608948,7036.252,19.5752,105.246,105.4022,102.7364,102.7086
02/15/16,03:04:00,106.678,515.9819,7.580757,7303.061,20.05903,105.655,105.8459,102.4467,102.4346
02/15/16,03:05:00,106.6023,516.2139,7.570877,7327.09,20.09556,105.8303,105.9799,103.1382,103.0828
02/15/16,03:06:00,106.6388,516.4949,7.654305,7299.338,20.00754,105.3895,105.4299,103.0861,103.0952
02/15/16,03:07:00,106.7171,515.7966,7.618484,7199.402,19.83181,105.1484,105.3212,102.8538,102.8713
02/15/16,03:08:00,106.7309,514.6054,7.672882,6862.503,19.22368,104.1671,104.3594,102.0372,102.0303
02/15/16,03:09:00,106.7484,515.3009,7.641487,7136.2,19.83884,105.4935,105.5496,101.9774,101.9521
02/15/16,03:10:00,106.657,516.2488,7.62146,7299.502,20.05017,105.6807,105.8186,102.6362,102.6215
02/15/16,03:11:00,106.6773,515.9439,7.59758,7339.78,20.05816,105.5415,105.5529,102.9804,102.9877
02/15/16,03:12:00,106.6392,516.3345,7.653618,7293.438,19.99172,105.2792,105.4362,103.0195,103.0031
02/15/16,03:13:00,106.6138,515.7324,7.632408,7306.528,20.03701,105.1605,105.3033,102.8458,102.6644
02/15/16,03:14:00,106.7204,516.736,7.532005,7366.059,20.1625,105.2396,105.4339,102.6278,102.6299
02/15/16,03:15:00,106.6693,515.946,7.674141,7107.489,19.64304,104.4521,104.6635,102.4695,102.4905
02/15/16,03:16:00,106.6755,516.0559,7.613258,7106.406,19.68401,104.5927,104.7664,101.8146,101.9222
02/15/16,03:17:00,106.6541,516.9397,7.581673,7195.349,19.84734,105.2125,105.4001,102.3434,102.3391
02/15/16,03:18:00,106.7609,515.4058,7.668076,7320.425,20.00234,104.777,104.9627,102.473,102.4611
02/15/16,03:19:00,106.67,515.75,7.582588,7337.302,20.04607,105.4272,105.5592,102.7657,102.9805
02/15/16,03:20:00,106.6817,515.7382,7.625313,7307.221,20.00798,105.3582,105.6074,102.8361,102.8487
02/15/16,03:21:00,106.5607,516.6747,7.616234,7231.018,19.90561,105.1077,105.3111,102.5048,102.4954
02/15/16,03:22:00,106.6758,515.5999,7.68219,7085.406,19.71099,105.2559,105.4167,102.5539,102.4028
02/15/16,03:23:00,106.6257,516.446,7.586365,7287.201,20.04189,105.7628,105.9335,102.7768,102.748
02/15/16,03:24:00,106.6769,514.9387,7.615623,7294.229,20.05225,105.543,105.7032,102.7087,102.6822
02/15/16,03:25:00,106.8148,515.2007,7.650719,7256.113,19.9948,105.4807,105.6494,102.7349,102.7118
02/15/16,03:26:00,106.6607,515.9573,7.663765,7204.907,19.91362,105.5836,105.7648,102.9489,102.926
02/15/16,03:27:00,106.6482,516.7827,7.623482,7205.182,19.90029,105.6987,105.8655,102.8353,102.8412
02/15/16,03:28:00,106.6567,516.1185,7.603722,7000.519,19.47119,104.5463,104.6959,102.2101,102.108
02/15/16,03:29:00,106.6148,516.2064,7.589378,7250.998,20.00505,105.7194,105.8851,102.6349,102.6172
02/15/16,03:30:00,106.6426,516.6595,7.589607,7333.292,20.09067,105.8655,105.9749,103.2278,103.2148
02/15/16,03:31:00,106.7128,515.657,7.614098,7290.381,19.96875,105.2627,105.3779,103.061,103.0503
02/15/16,03:32:00,106.7034,515.6885,7.770157,7207.413,19.80903,105.0594,105.202,102.7674,102.7421
02/15/16,03:33:00,106.6955,515.8304,7.61879,7013.593,19.5519,105.2634,105.457,102.453,102.4259
02/15/16,03:34:00,106.5819,516.8484,7.567406,7227.771,19.90679,105.9271,106.1392,102.6579,102.6522
02/15/16,03:35:00,106.682,515.7606,7.648277,7316.687,20.05117,105.3511,105.6395,103.0896,103.0753
02/15/16,03:36:00,106.5863,516.3807,7.59758,7305.502,20.0135,105.5444,105.7277,103.1765,103.1821
02/15/16,03:37:00,106.6206,516.5317,7.602043,7173.334,19.74841,105.1528,105.3622,103.0791,103.069
02/15/16,03:38:00,106.6261,516.2231,7.610245,6993.79,19.49597,104.4106,104.6019,101.7382,101.9202
02/15/16,03:39:00,106.6308,516.9211,7.571907,7294.925,20.05542,105.6768,105.8466,102.7665,102.8077
02/15/16,03:40:00,106.7731,515.3571,7.640572,7421.011,20.18218,104.8865,104.9741,102.7134,102.7191
02/15/16,03:41:00,106.6451,515.2789,7.623558,7300.656,19.97378,104.4296,104.5557,102.1837,102.1688
02/15/16,03:42:00,106.6684,516.361,7.593765,6832.092,19.1584,104.8256,105.0283,102.5227,102.5712
02/15/16,03:43:00,106.5733,516.8002,7.579231,7217.551,19.87217,105.569,105.7752,102.7797,102.7441
02/15/16,03:44:00,106.65,516.351,7.616272,7340.005,20.07324,105.4915,105.6566,102.8756,102.8757
02/15/16,03:45:00,106.5871,516.4147,7.533455,7013.553,19.44661,104.8832,105.0447,102.8098,102.7983
02/15/16,03:46:00,106.5931,516.6145,7.572937,7227.911,19.90762,105.4595,105.8053,102.6239,102.6144
02/15/16,03:47:00,106.6356,515.5781,7.424469,7290.411,20.0324,105.6036,105.7438,102.5665,102.535
02/15/16,03:48:00,106.6094,515.4022,7.680969,7210.352,19.85501,105.2068,105.3956,102.5991,102.5612
02/15/16,03:49:00,106.6296,516.0654,7.622986,7111.255,19.74258,105.4111,105.6093,102.762,102.755
02/15/16,03:50:00,106.5349,516.9412,7.564735,7254.19,19.99724,106.0078,106.18,102.856,102.8645
02/15/16,03:51:00,106.6456,515.7611,7.644806,7220.725,19.94299,105.8435,106.017,102.9846,102.9329
02/15/16,03:52:00,106.6028,516.3521,7.499084,7235.62,19.99397,105.931,106.0785,103.2192,103.1995
02/15/16,03:53:00,106.6384,516.2377,7.620201,7164.722,19.82397,105.7757,105.4925,102.6422,102.6772
02/15/16,03:54:00,106.5997,515.9433,7.614746,7227.566,19.96543,105.6646,105.8149,102.7436,102.7332
02/15/16,03:55:00,106.5871,516.6644,7.581825,7272.128,20.03257,105.7245,105.9193,102.9156,103.0591
02/15/16,03:56:00,106.6561,515.0775,7.648506,7258.859,19.9533,105.223,105.4178,102.7943,102.7875
02/15/16,03:57:00,106.7469,515.3746,7.641029,7254.568,19.92595,105.3619,105.5622,102.7649,102.7723
02/15/16,03:58:00,106.6745,515.993,7.787247,7242.862,20.00479,105.6591,105.8117,102.7,102.6325
02/15/16,03:59:00,106.5977,516.9581,7.541618,7251.031,19.93718,105.6337,105.7641,103.0428,103.0451
